MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustspeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
3.1,17.9,0,1,8.8,2,17,11,7,7,7,87,59,1028.8,1025.9,0,1,8.4,17.1,0,0
10.2,13.4,6.6,0.6,0.9,14,59,14,14,31,31,66,67,1019.8,1020.7,7,8,11.3,12.5,1,0
10.1,13,0,2,2,7,43,7,14,26,19,66,64,1027.1,1026.8,7,7,12.2,12.1,0,0
8.3,14.5,0,0.6,6.6,15,33,8,4,9,19,73,63,1029.3,1028.2,7,3,11.1,11.6,0,0
7.4,12.6,0.2,0.8,1.3,14,19,9,4,7,11,93,58,1030.4,1028.4,8,8,9.2,12.3,0,0
7.6,12.7,0,2,0.2,7,28,4,7,2,13,71,76,1029.8,1027.2,7,7,10.1,11.9,0,0
8.4,15.1,3.6,1.4,4.4,15,39,1,4,11,22,90,89,1030.3,1030.1,7,7,12.1,12.2,1,0
1,12.8,0.2,0.8,3.3,2,13,11,7,7,9,91,63,1033.8,1031.6,1,7,6.8,11,0,0
4.3,11.2,0,1.8,9,6,30,6,6,15,13,70,58,1030.3,1025.5,3,1,6.2,10.7,0,0
6.3,11.9,13.2,1.4,5.5,8,50,8,8,22,24,87,70,1017.7,1019,7,7,9.3,10.5,1,0
7.3,14.7,3.6,0.6,6.1,4,24,1,15,7,15,96,67,1026.9,1025.6,3,4,10.9,13.2,1,0
4.6,13.8,0.4,0.8,6.6,4,26,16,7,6,13,90,66,1032.3,1032.3,2,5,8.2,11.6,0,0
0.1,14.5,0,1.4,7.5,15,19,11,16,6,7,95,72,1037.2,1035.4,1,7,5.1,12.6,0,0
-0.3,13.1,0,0.2,5.9,11,19,11,2,6,7,94,66,1036.1,1032.4,6,6,1.9,11.5,0,0
-0.3,13.3,0.2,0.6,8.7,2,33,11,2,13,20,85,51,1030.6,1027.3,0,4,3.9,12.6,0,0
3.1,14.2,0.2,1.4,5.4,11,30,11,11,19,19,68,61,1025.6,1022.1,6,8,6,12.1,0,0
7.5,14,3.4,0.6,4.1,11,30,10,2,15,17,92,81,1013.7,1011.1,7,8,10.3,12.2,1,0
9,14.7,0,0.6,2.1,2,33,2,2,17,15,83,66,1008.6,1006.2,7,7,10.7,13.5,0,0
7.6,15.3,2.2,0.4,5.6,8,20,10,16,9,9,99,71,1028.1,1028.2,7,6,10.7,14.7,1,0
6.6,16.2,0.2,0.6,4.3,16,37,10,16,9,28,99,89,1033.4,1032.6,6,8,7.9,13.3,0,0
7.8,15.8,0.4,0.8,1.7,16,22,10,8,4,9,97,78,1033.7,1031.2,8,7,10.8,13.8,0,0
5.4,14,0.4,2,0.3,11,19,2,2,9,9,99,72,1030,1026.3,7,7,9.2,13.3,0,0
6.5,15.1,0,0.4,2.2,2,33,11,11,17,15,82,63,1023.7,1019.1,7,7,8.2,13.8,0,0
4.1,13.9,1.4,0.8,6.6,4,39,16,4,2,20,93,65,1034.6,1032.5,6,5,8.4,12.7,1,0
4.4,13.1,0.2,0.8,1.3,3,19,13,14,11,9,95,64,1032.6,1029.4,8,7,9,12,0,0
5.9,13.1,3.6,2,4.9,16,37,1,1,13,19,72,70,1020.5,1021.3,7,6,9.5,11.9,1,0
6.9,14.1,3,1.8,2.4,8,41,16,8,13,24,88,61,1031.4,1031.2,8,7,10.2,13.3,1,0
6.5,14.4,1,1.2,3,4,46,14,15,28,22,86,70,1034.1,1032.3,6,6,10.7,12.7,0,0
5.4,15.5,0.2,1.6,7.4,7,26,14,7,9,11,83,65,1032,1028.4,2,6,10.9,13.3,0,0
6.2,13.9,1.4,2.6,2.9,15,52,15,8,13,19,73,70,1020.1,1020.5,8,8,9.8,11.8,1,0
4.2,12.5,0.6,0.6,0.6,1,33,10,9,15,13,99,78,1024.2,1022,8,8,8.3,11.3,0,0
5.1,14.9,2.2,2.6,6.8,1,57,10,1,19,33,95,68,1017,1015.3,7,6,8.9,12.8,1,0
8.9,13.2,0.6,1.8,1.7,9,37,8,1,17,24,59,60,1022.5,1022,8,7,10.6,11.3,0,0
6.6,13.7,0,2.6,2,2,44,2,2,20,22,74,64,1021.1,1017.8,7,7,8.6,13.2,0,0
7.1,17.1,0,2.2,4.5,2,48,11,11,22,20,60,44,1015,1009.7,7,7,11.6,16.9,0,0
6.5,14.2,1.4,1.4,7.2,8,52,8,15,33,26,90,89,1023.3,1023.9,8,8,10.6,11.3,1,0
6.6,12.6,0.8,1.6,0.1,10,28,2,10,11,17,97,69,1027,1023.9,8,8,9.8,11.8,0,0
4.6,18.9,0.2,1,9.2,2,48,2,9,31,26,62,60,1019.5,1018.4,2,1,12.5,17.4,0,0
4.2,18.5,0.2,3.4,2.8,5,28,11,5,13,20,97,54,1020.8,1017.5,8,7,10,17,0,0
5.9,23.2,0,2.4,5.9,2,70,2,11,19,33,54,28,1014.3,1007.8,5,7,14.6,21.7,0,0
7.2,13.2,12.2,3,7.5,1,80,1,1,31,41,74,64,1008.5,1011.7,4,8,9.7,12.1,1,0
8.5,12.7,0.8,2.4,0.8,16,56,16,16,35,28,67,63,1021,1021.8,8,8,11.4,11.9,0,0
7.2,16.5,0.2,2.6,9,9,31,1,9,15,17,66,59,1027.8,1024.4,2,5,12.1,16.1,0,0
3.2,15.7,0.2,3.2,5.8,15,28,2,15,13,13,95,63,1024.1,1021.5,7,7,8.7,15.5,0,0
2.5,19.7,0,0.6,10.3,11,31,11,5,15,15,83,50,1023.2,1019.3,0,0,11.8,18.8,0,0
